epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5743.5,0.9047,1.24984,0.54404,1.02901,0.97942,0.98522,0.98864,0.77368,0.96434,0.97002,0.97508,0.68918,0.89659,1.18422,0.5017,1.05549,0.000742815,0.000742815,0.000742815
30,5937.16,0.93708,1.2803,0.54493,1.03992,0.98119,0.98289,0.99099,0.78888,0.96936,0.97073,0.98191,0.69863,0.84484,1.1889,0.46816,1.04212,0.000709809,0.000709809,0.000709809
31,6132.89,0.91338,1.24361,0.53538,1.01918,0.98249,0.98311,0.99056,0.80137,0.97729,0.96877,0.98514,0.67902,0.8432,1.1915,0.4698,1.04452,0.000676802,0.000676802,0.000676802
32,6327.85,0.92013,1.28011,0.5378,1.03494,0.97625,0.98649,0.98879,0.78361,0.95624,0.96622,0.97501,0.69528,0.88943,1.20877,0.47805,1.0498,0.000643795,0.000643795,0.000643795
33,6522.09,0.90741,1.31417,0.53383,1.02641,0.98175,0.97973,0.99127,0.79501,0.98374,0.97804,0.99114,0.69364,0.87295,1.18904,0.46977,1.03938,0.000610789,0.000610789,0.000610789
34,6714.71,0.89473,1.24041,0.52215,1.01855,0.98126,0.98667,0.99233,0.81154,0.97576,0.96531,0.97731,0.6926,0.8002,1.14284,0.44827,1.03294,0.000577782,0.000577782,0.000577782
35,6906.66,0.86178,1.19997,0.50118,1.00668,0.9833,0.99324,0.99187,0.81462,0.97832,0.98818,0.99003,0.70181,0.78014,1.14584,0.44523,1.02068,0.000544776,0.000544776,0.000544776
36,7102.61,0.84322,1.20455,0.49211,1.00568,0.97901,0.98649,0.99167,0.80951,0.97239,0.96601,0.98032,0.70343,0.79273,1.11853,0.44567,1.02183,0.000511769,0.000511769,0.000511769
37,7294.75,0.86217,1.20482,0.50223,1.00761,0.98786,0.98687,0.99255,0.8112,0.98106,0.98011,0.98697,0.69449,0.80305,1.12345,0.43208,1.02318,0.000478762,0.000478762,0.000478762
38,7487.81,0.83976,1.16857,0.48745,1.00644,0.98802,0.98353,0.99216,0.81105,0.97771,0.97111,0.98031,0.68031,0.79495,1.09593,0.43648,1.01546,0.000445756,0.000445756,0.000445756
39,7681.89,0.83368,1.1415,0.48375,0.99839,0.97746,0.98649,0.99024,0.82272,0.98741,0.979,0.99301,0.71574,0.7828,1.13752,0.42143,1.00586,0.000412749,0.000412749,0.000412749
40,7879.99,0.8368,1.16959,0.48016,1.00016,0.98505,0.98142,0.98987,0.81134,0.9771,0.97396,0.98258,0.69232,0.82185,1.13317,0.42324,1.03277,0.000379743,0.000379743,0.000379743
41,8072.35,0.79525,1.13739,0.45175,1.00313,0.98431,0.9878,0.99423,0.81679,0.97427,0.97466,0.98489,0.70828,0.80709,1.13707,0.42128,1.01539,0.000346736,0.000346736,0.000346736
42,8269.44,0.77611,1.11133,0.42821,0.99124,0.98856,0.98986,0.99074,0.83043,0.98557,0.97973,0.98918,0.70241,0.76403,1.04703,0.40399,0.99026,0.000313729,0.000313729,0.000313729
43,8461.98,0.75739,1.08702,0.42541,0.98807,0.97905,0.99169,0.99358,0.83364,0.9799,0.97635,0.99161,0.71111,0.73537,1.04937,0.39954,0.99556,0.000280723,0.000280723,0.000280723
44,8654.61,0.75847,1.0704,0.41979,0.98599,0.98882,0.99312,0.99419,0.82381,0.98861,0.97973,0.99126,0.71369,0.76516,1.01333,0.40293,0.99673,0.000247716,0.000247716,0.000247716
45,8846.56,0.73396,1.06827,0.41406,0.98322,0.98936,0.98986,0.99358,0.83644,0.98684,0.98311,0.99337,0.71909,0.75105,1.01541,0.39583,0.99513,0.00021471,0.00021471,0.00021471
46,9038.62,0.72742,1.05641,0.40479,0.97392,0.98944,0.98992,0.99414,0.84159,0.99299,0.98059,0.99354,0.72165,0.70273,0.99793,0.37409,0.97508,0.000181703,0.000181703,0.000181703
47,9231.43,0.71025,1.03279,0.39806,0.96116,0.99228,0.99155,0.99408,0.84445,0.98805,0.98311,0.9929,0.71853,0.70938,0.98879,0.3767,0.97753,0.000148696,0.000148696,0.000148696
48,9424.39,0.6949,1.02961,0.38779,0.96778,0.99159,0.99493,0.99439,0.84891,0.98654,0.98986,0.99396,0.73473,0.69824,0.99064,0.365,0.96956,0.00011569,0.00011569,0.00011569
49,9617.32,0.69747,1.00829,0.3864,0.96071,0.99312,0.99283,0.99392,0.85008,0.98972,0.98949,0.99413,0.73208,0.69619,0.97776,0.36594,0.96825,8.26832e-05,8.26832e-05,8.26832e-05
50,9808.37,0.68947,1.00689,0.38265,0.95509,0.99096,0.99324,0.99438,0.84985,0.98971,0.98799,0.99369,0.7324,0.68761,0.96682,0.35814,0.96798,4.96766e-05,4.96766e-05,4.96766e-05
